epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,370.972,0.81739,0.41845,1.01398,0.99935,0.99259,0.995,0.77396,0.78637,0.3167,0.98606,0.0011684,0.0011684,0.0011684
44,377.796,0.81489,0.41882,1.01008,0.99867,0.99259,0.995,0.77743,0.77459,0.3096,0.98286,0.0011486,0.0011486,0.0011486
45,384.587,0.78963,0.39385,0.99563,0.99631,0.99954,0.995,0.77981,0.76335,0.2953,0.97631,0.0011288,0.0011288,0.0011288
46,391.423,0.77964,0.39754,1.00106,0.99613,0.99259,0.99496,0.78669,0.77277,0.30337,0.97458,0.001109,0.001109,0.001109
47,398.307,0.80828,0.41029,1.00853,0.99947,0.99259,0.995,0.77858,0.78895,0.29922,0.99116,0.0010892,0.0010892,0.0010892
48,405.097,0.79962,0.40508,1.00856,0.99899,0.9963,0.995,0.78533,0.77402,0.30168,0.98449,0.0010694,0.0010694,0.0010694
49,412.094,0.7853,0.39705,1.00522,0.99977,0.9963,0.995,0.80313,0.75087,0.2964,0.96427,0.0010496,0.0010496,0.0010496
50,418.989,0.79225,0.39881,1.00638,1,0.99619,0.995,0.77881,0.78368,0.29863,0.97673,0.0010298,0.0010298,0.0010298
51,425.769,0.78263,0.39533,1.00366,1,0.99246,0.995,0.77226,0.77624,0.29759,0.97736,0.00101,0.00101,0.00101
52,432.587,0.77918,0.39314,1.00048,0.99982,0.9963,0.995,0.77649,0.76784,0.29362,0.97228,0.0009902,0.0009902,0.0009902
53,439.383,0.75789,0.38174,0.99145,0.99895,0.99259,0.995,0.79683,0.75445,0.28959,0.96992,0.0009704,0.0009704,0.0009704
54,446.278,0.79307,0.39363,1.00199,0.99934,0.9963,0.995,0.78374,0.78316,0.30913,0.98566,0.0009506,0.0009506,0.0009506
55,453.038,0.79264,0.39645,1.00347,1,0.99251,0.995,0.79595,0.7603,0.29325,0.9722,0.0009308,0.0009308,0.0009308
56,459.79,0.76884,0.38549,0.9962,1,0.99601,0.995,0.79568,0.76555,0.2892,0.97252,0.000911,0.000911,0.000911
57,466.562,0.76481,0.38952,0.9929,1,0.99227,0.995,0.80626,0.7492,0.28474,0.97361,0.0008912,0.0008912,0.0008912
58,473.413,0.7688,0.38131,0.99452,0.99631,0.99996,0.995,0.79979,0.75796,0.28822,0.97569,0.0008714,0.0008714,0.0008714
59,480.296,0.73145,0.36718,0.98182,0.99593,1,0.995,0.79199,0.75004,0.28248,0.96932,0.0008516,0.0008516,0.0008516
60,487.353,0.74122,0.37114,0.98971,1,0.99232,0.995,0.79414,0.74304,0.2783,0.96465,0.0008318,0.0008318,0.0008318
61,494.189,0.75203,0.37917,0.98604,0.99946,0.9963,0.995,0.79996,0.74945,0.28168,0.96587,0.000812,0.000812,0.000812
62,501.011,0.73613,0.37275,0.98419,0.99976,0.9963,0.995,0.78552,0.75741,0.29133,0.97454,0.0007922,0.0007922,0.0007922
63,507.908,0.73545,0.3694,0.98591,0.99971,0.9963,0.995,0.79803,0.75499,0.28603,0.97447,0.0007724,0.0007724,0.0007724
64,514.853,0.73941,0.36437,0.99155,0.99967,0.99259,0.995,0.79194,0.74431,0.2808,0.97094,0.0007526,0.0007526,0.0007526
65,521.746,0.74504,0.36337,0.98549,1,0.99572,0.995,0.79044,0.7719,0.28058,0.97098,0.0007328,0.0007328,0.0007328
66,528.796,0.74546,0.36985,0.98467,0.99972,0.9963,0.995,0.81036,0.73477,0.28107,0.95963,0.000713,0.000713,0.000713
67,535.767,0.72304,0.36184,0.98,1,0.99601,0.995,0.7876,0.77075,0.29393,0.97967,0.0006932,0.0006932,0.0006932
