epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5558.59,1.02413,1.0029,1.0583,0.66619,0.71692,0.68402,0.52971,0.96225,0.86143,1.03137,0.000494885,0.000494885,0.000494885
43,5690.3,1.02738,0.98091,1.06058,0.68396,0.71138,0.68131,0.53484,0.9486,0.85829,1.0216,0.000486639,0.000486639,0.000486639
44,5822.31,1.01118,0.97982,1.05509,0.66061,0.71616,0.68336,0.54885,0.89227,0.83047,1.01599,0.000478392,0.000478392,0.000478392
45,5954.18,0.98813,0.95124,1.05136,0.66248,0.72869,0.68244,0.53551,0.94599,0.83746,1.02111,0.000470145,0.000470145,0.000470145
46,6085.64,0.98403,0.94234,1.04713,0.66626,0.73725,0.69234,0.55621,0.87049,0.80701,1.00521,0.000461898,0.000461898,0.000461898
47,6217.6,0.97224,0.93125,1.04066,0.70564,0.70356,0.68945,0.54895,0.90101,0.82444,1.01094,0.000453652,0.000453652,0.000453652
48,6348.82,0.95799,0.92281,1.03375,0.68929,0.71295,0.69179,0.55214,0.88787,0.8078,0.99708,0.000445405,0.000445405,0.000445405
49,6480.48,0.94945,0.91519,1.02697,0.68936,0.71018,0.69621,0.56596,0.84267,0.79376,0.99755,0.000437158,0.000437158,0.000437158
50,6612.25,0.96064,0.91963,1.03679,0.69506,0.72484,0.69519,0.55247,0.88749,0.79594,0.99827,0.000428912,0.000428912,0.000428912
51,6743.94,0.93409,0.89885,1.02258,0.66987,0.74907,0.70322,0.57643,0.82555,0.76361,0.98542,0.000420665,0.000420665,0.000420665
52,6875.84,0.92684,0.87117,1.02272,0.70675,0.74128,0.7117,0.57742,0.83231,0.7615,0.98746,0.000412418,0.000412418,0.000412418
53,7007.69,0.92838,0.88048,1.01992,0.70154,0.7387,0.70418,0.57006,0.82408,0.77537,0.98278,0.000404172,0.000404172,0.000404172
54,7139.19,0.90233,0.85393,1.01197,0.69757,0.73392,0.70033,0.56611,0.83722,0.78389,0.98942,0.000395925,0.000395925,0.000395925
55,7270.47,0.90102,0.85678,1.01462,0.70694,0.74178,0.70696,0.57952,0.82711,0.75459,0.99099,0.000387678,0.000387678,0.000387678
56,7402.32,0.89878,0.84618,1.01171,0.69751,0.74907,0.70995,0.583,0.8215,0.74338,0.97843,0.000379431,0.000379431,0.000379431
57,7534.35,0.89852,0.83587,1.00639,0.71397,0.73927,0.71769,0.59278,0.7888,0.74084,0.9705,0.000371185,0.000371185,0.000371185
58,7665.97,0.87738,0.81765,1.00113,0.71379,0.74764,0.7167,0.58974,0.81584,0.74269,0.97859,0.000362938,0.000362938,0.000362938
59,7797.16,0.87376,0.81451,1.0048,0.70946,0.76224,0.71834,0.59212,0.80924,0.73533,0.97372,0.000354691,0.000354691,0.000354691
60,7928.3,0.8803,0.82174,1.00399,0.7241,0.75752,0.71934,0.60388,0.77168,0.72339,0.96813,0.000346445,0.000346445,0.000346445
61,8059.92,0.864,0.79474,0.99263,0.71633,0.7568,0.71914,0.59697,0.77135,0.72465,0.96411,0.000338198,0.000338198,0.000338198
62,8191.36,0.85918,0.80059,0.99486,0.72374,0.74328,0.72541,0.60262,0.76373,0.71874,0.96138,0.000329951,0.000329951,0.000329951
63,8322.64,0.85334,0.79993,0.99474,0.7298,0.75087,0.72997,0.60624,0.76511,0.70337,0.96104,0.000321705,0.000321705,0.000321705
64,8454.19,0.8386,0.78207,0.98379,0.71982,0.7515,0.72312,0.60499,0.76004,0.71445,0.96231,0.000313458,0.000313458,0.000313458
65,8585.49,0.83776,0.76707,0.9895,0.72773,0.75343,0.72338,0.6013,0.77526,0.7068,0.96289,0.000305211,0.000305211,0.000305211
66,8716.58,0.83697,0.77376,0.99111,0.7334,0.74693,0.72275,0.59927,0.7621,0.70782,0.9571,0.000296964,0.000296964,0.000296964
67,8848.13,0.82322,0.76289,0.97951,0.72636,0.77014,0.73218,0.60428,0.78401,0.70648,0.9617,0.000288718,0.000288718,0.000288718
68,8979.77,0.81884,0.76224,0.98012,0.72561,0.76464,0.72937,0.60625,0.75924,0.6975,0.94983,0.000280471,0.000280471,0.000280471
69,9111.47,0.80413,0.73771,0.97456,0.72348,0.77159,0.72943,0.61273,0.7481,0.69554,0.95284,0.000272224,0.000272224,0.000272224
70,9243.13,0.80129,0.74793,0.97221,0.74389,0.76515,0.73252,0.6188,0.73745,0.68478,0.94877,0.000263978,0.000263978,0.000263978
71,9374.72,0.80358,0.74166,0.98153,0.74814,0.75869,0.7316,0.61556,0.72945,0.68163,0.94513,0.000255731,0.000255731,0.000255731
72,9506.07,0.78694,0.71826,0.96474,0.73366,0.76982,0.73121,0.61923,0.73637,0.68029,0.94725,0.000247484,0.000247484,0.000247484
73,9638.48,0.77494,0.71426,0.96295,0.7346,0.7808,0.73931,0.61059,0.76494,0.68586,0.95124,0.000239238,0.000239238,0.000239238
74,9769.78,0.78448,0.71784,0.9676,0.74515,0.77226,0.73676,0.61151,0.75103,0.6817,0.94644,0.000230991,0.000230991,0.000230991
75,9900.9,0.77397,0.71325,0.96644,0.74063,0.77031,0.73731,0.60573,0.77928,0.69381,0.94753,0.000222744,0.000222744,0.000222744
76,10032.5,0.77164,0.70539,0.96405,0.74061,0.77441,0.74164,0.61623,0.76692,0.67621,0.94263,0.000214497,0.000214497,0.000214497
77,10163.9,0.76538,0.7025,0.96083,0.7575,0.75886,0.74228,0.62152,0.73767,0.66614,0.93947,0.000206251,0.000206251,0.000206251
78,10295.7,0.76541,0.69,0.96151,0.74609,0.77803,0.74632,0.62824,0.72925,0.65966,0.93864,0.000198004,0.000198004,0.000198004
79,10427.4,0.74932,0.68691,0.95775,0.74577,0.782,0.74979,0.63134,0.71496,0.65734,0.93648,0.000189757,0.000189757,0.000189757
80,10559.2,0.73753,0.66845,0.95217,0.75696,0.76959,0.74645,0.63449,0.68521,0.64713,0.93132,0.000181511,0.000181511,0.000181511
81,10690.9,0.73985,0.6807,0.95174,0.75835,0.7734,0.75068,0.63999,0.67684,0.6388,0.93047,0.000173264,0.000173264,0.000173264
82,10822.5,0.72947,0.67573,0.94979,0.7701,0.77747,0.75139,0.63622,0.70766,0.64702,0.93276,0.000165017,0.000165017,0.000165017
83,10953.7,0.72919,0.66017,0.95165,0.75613,0.77314,0.74933,0.63413,0.71023,0.65443,0.9309,0.000156771,0.000156771,0.000156771
84,11085.1,0.71249,0.65256,0.94716,0.75887,0.77283,0.75325,0.6383,0.69792,0.64674,0.92739,0.000148524,0.000148524,0.000148524
85,11216.6,0.70078,0.64527,0.93831,0.77405,0.76568,0.75369,0.63916,0.69799,0.64385,0.92731,0.000140277,0.000140277,0.000140277
86,11347.8,0.7106,0.65754,0.94962,0.76631,0.77624,0.7557,0.6405,0.68823,0.64037,0.92708,0.000132031,0.000132031,0.000132031
87,11479.6,0.7089,0.64349,0.94404,0.76191,0.77638,0.75577,0.64226,0.67403,0.63748,0.92518,0.000123784,0.000123784,0.000123784
88,11611.3,0.70047,0.63407,0.9366,0.76897,0.76504,0.75588,0.64343,0.68376,0.63631,0.92476,0.000115537,0.000115537,0.000115537
89,11743.3,0.68969,0.62507,0.93574,0.76742,0.77823,0.7576,0.648,0.67562,0.63579,0.92385,0.00010729,0.00010729,0.00010729
90,11874.9,0.68498,0.64092,0.93466,0.77078,0.78022,0.75799,0.65135,0.66943,0.63315,0.92228,9.90437e-05,9.90437e-05,9.90437e-05
91,12007.6,0.6488,0.5609,0.94425,0.75617,0.79142,0.7561,0.64532,0.67625,0.63682,0.92399,9.0797e-05,9.0797e-05,9.0797e-05
92,12139.4,0.63677,0.5452,0.93988,0.75681,0.78928,0.75655,0.65126,0.65783,0.62652,0.92092,8.25503e-05,8.25503e-05,8.25503e-05
93,12271,0.62145,0.53812,0.92783,0.77379,0.78247,0.758,0.65503,0.64539,0.62256,0.91853,7.43036e-05,7.43036e-05,7.43036e-05
94,12402.6,0.59935,0.52134,0.91906,0.76715,0.78649,0.75932,0.65362,0.65109,0.62436,0.91644,6.60569e-05,6.60569e-05,6.60569e-05
95,12534,0.5931,0.51592,0.92116,0.76609,0.787,0.75751,0.65388,0.64947,0.62281,0.91516,5.78102e-05,5.78102e-05,5.78102e-05
96,12665.2,0.59707,0.50907,0.92143,0.77283,0.78086,0.75979,0.65353,0.65129,0.62285,0.91505,4.95635e-05,4.95635e-05,4.95635e-05
97,12796.6,0.58261,0.50645,0.92127,0.76664,0.78831,0.75727,0.65734,0.64093,0.61897,0.91381,4.13168e-05,4.13168e-05,4.13168e-05
98,12928.1,0.56755,0.49875,0.91186,0.76652,0.78782,0.7564,0.65531,0.63719,0.62102,0.91278,3.30701e-05,3.30701e-05,3.30701e-05
99,13059.3,0.56475,0.49905,0.91074,0.77175,0.78841,0.75962,0.66036,0.6258,0.61612,0.91084,2.48234e-05,2.48234e-05,2.48234e-05
100,13191.1,0.57331,0.49757,0.91339,0.7762,0.78263,0.76,0.66182,0.62179,0.6136,0.91007,1.65767e-05,1.65767e-05,1.65767e-05
